N , ImpTree_Euro ,BS Price 
10,0.0996086,0.105424
15,0.0986994,0.105424
20,0.100626,0.105424
25,0.104553,0.105424
30,0.0890151,0.105424
35,0.0899984,0.105424
40,0.103683,0.105424
45,0.0900667,0.105424
50,0.0976318,0.105424
55,0.089771,0.105424
60,0.0923602,0.105424
65,0.0896919,0.105424
70,0.0921588,0.105424
75,0.0887866,0.105424
80,0.0921728,0.105424
85,0.0911145,0.105424
90,0.0922072,0.105424
95,0.0917374,0.105424
100,0.0922752,0.105424
105,0.0939972,0.105424
110,0.0873067,0.105424
115,0.0942154,0.105424
120,0.0907532,0.105424
125,0.0941766,0.105424
130,0.0923266,0.105424
135,0.0944371,0.105424
140,0.0926884,0.105424
145,0.0942329,0.105424
150,0.0929655,0.105424
155,0.0945105,0.105424
160,0.0901059,0.105424
165,0.0880345,0.105424
170,0.0930373,0.105424
175,0.0878728,0.105424
180,0.088488,0.105424
185,0.0956045,0.105424
190,0.09738,0.105424
195,0.0959718,0.105424
200,0.095548,0.105424
205,0.0962215,0.105424
210,0.0976282,0.105424
215,0.0899627,0.105424
220,0.0946542,0.105424
225,0.096461,0.105424
230,0.0977455,0.105424
235,0.0930929,0.105424
240,0.0798841,0.105424
245,0.0894796,0.105424
250,0.0865786,0.105424
255,0.0873207,0.105424
260,0.0997097,0.105424
265,0.0804598,0.105424
270,0.0995381,0.105424
275,0.101074,0.105424
280,0.0982155,0.105424
285,0.097085,0.105424
290,0.0985679,0.105424
295,0.099335,0.105424
300,0.100231,0.105424
305,0.0971331,0.105424
